Descripción,Unidad,Costo
Polietileno de 400 micras,m²,$15.71
Polín cimbra de pino de 8 cm x 8 cm x 2.50 m,pt,$8.60
Poste calibre 26 de 4.10 cm x 2.44 m,pieza,$30.90
Poste calibre 26 de 6.35 cm x 2.44 m,pieza,$49.00
"Poste cónico circular de 8.00 m, fabricado en lamina de acero, calibre 11, modelo PS027",pieza,"$3,612.00"
"Poste cónico cuadrado, serie PCCU de 5 m de altura, espesor de placa de 11.1 mm, terminado galvanizado",pieza,"$1,755.00"
"Poste metálico cal. 26m, 9.20 cm x 2.44 m",m,$22.58
"Puerta de abatir de 1.80 x 1.20 m, cristal claro de 3 mm completo, con marco de aluminio blanco pintura electrostática. (incluye: chapa sencilla con llave y 2 jaladeras)",pieza,"$7,277.27"
"Recubrimiento acrílico en pasta Texturi Tersa®, cubeta de 19 litros",pieza,$588.22
"Recubrimiento protector y decorativo elástico Festerblanc, cubeta de 19 litros",pieza,"$2,522.67"
"Recubrimiento texturizable Vinicement D, cubeta de 33 kg",Cubeta,$934.00
"Reducción Fo.Fo. Bridada de 10""x 3"" (250x76 mm)",pieza,"$1,405.92"
"Reducción Fo.Fo. Bridada de 10""x 4"" (250x100 mm)",pieza,"$1,511.20"
"Reducción Fo.Fo. Bridada de 10""x 6"" (250x150 mm)",pieza,"$1,650.31"
"Reducción Fo.Fo. Bridada de 10""x 8"" (250x200 mm)",pieza,"$1,897.91"
"Reducción Fo.Fo. Bridada de 3""x 2"" (76x51 mm)",pieza,$245.94
"Reducción Fo.Fo. Bridada de 3""x 2-1/2"" (76x63 mm)",pieza,$281.12
"Reducción Fo.Fo. Bridada de 4""x 2"" (100x51 mm)",pieza,$386.51
"Reducción Fo.Fo. Bridada de 4""x 2-1/2"" (100x63 mm)",pieza,$421.53
"Reducción Fo.Fo. Bridada de 4""x 3"" (100x76 mm)",pieza,$556.77
"Reducción Fo.Fo. Bridada de 6""x 2"" (150x51 mm)",pieza,$597.52
"Reducción Fo.Fo. Bridada de 6""x 2-1/2"" (150x63 mm)",pieza,$632.60
"Reducción Fo.Fo. Bridada de 6""x 3"" (150x76 mm)",pieza,$667.63
"Reducción Fo.Fo. Bridada de 6""x 4"" (150x100 mm)",pieza,$773.11
"Reducción Fo.Fo. Bridada de 8""x 2"" (200x51 mm)",pieza,$913.62
"Reducción Fo.Fo. Bridada de 8""x 2-1/2"" (200x63 mm)",pieza,$983.98
"Reducción Fo.Fo. Bridada de 8""x 3"" (200x76 mm)",pieza,"$1,019.01"
"Reducción Fo.Fo. Bridada de 8""x 4"" (200x100 mm)",pieza,"$1,124.59"
"Reducción Fo.Fo. Bridada de 8""x 6"" (200x150 mm)",pieza,"$1,265.06"
Refuerzo horizontal para muro de block,m,$6.39
Rejilla de piso con bisagra Fo.Fo. de 60x40 cm en 80kg,pieza,"$1,120.00"
"Rollo plomero de lija de 25 mm de ancho, largo de 45 m, tipo J-86, modelo 01917",m,$5.67
"Sellador acrílico 5x1 Reforzado®, cubeta de 19 litros.",l,$66.28
"Semivigueta de concreto con alma abierta, peralte de 13 cm, de 2.20 m de longitud",m,$180.00
"Semivigueta de concreto con alma abierta, peralte de 15 cm, de 2.20 m de longitud",m,$180.00
"Silicón blanco industrial Dow Corning 732, cartucho de 300 ml",pieza,$102.59
"Sistema prefabricado de compuesto de asfaltos destilados modificados modelo PG-45 T SBS con refuerzo de poliéster 180 grs/m2, acabado superior de gravilla, acabado inferior de polietileno, espesor de 4.50 mm, rollo de 100 x 1 m",m²,$18.92
"Slant de concreto de 6""(15 cm) de dámetro, resistencia del concreto 280 kgf/cm2, longitud total 100 cm, peso 0.028 kg",pieza,$69.79
"Tabique de 20 x 10 x 10 cm, de 1 cara, capa de esmalte vidriado",millar,"$25,180.00"
"Tabique de 20 x 10 x 10 cm, de 2 caras, capa de esmalte vidriado",millar,"$25,180.00"
"Tabique hueco Vintex Natural 12/12 de 12x12x24 cm, acabado liso, modelo VIN1212NATU",millar,"$6,461.93"
"Tabique hueco Vintex Natural 6/12 de 6x12x24 cm, acabado rústico, modelo VIN0612RNATU",millar,"$3,879.31"
Tabique rojo recocido de 7 x 14 x 28 cm,millar,"$2,365.95"
"Tablacemento USG DUROCK® de 1/2""(12.7 mm) de espesor, medidas 1,22m x 2.44m",pieza,$96.55
"Tapa ciega Fo.Fo. de 10"" (256 mm) de diámetro",pieza,$924.14
"Tapa ciega Fo.Fo. de 2"" (51 mm) de diámetro",pieza,$70.26
"Tapa ciega Fo.Fo. de 2-1/2"" (63 mm) de diámetro",pieza,$105.49
"Tapa ciega Fo.Fo. de 3"" (76 mm) de diámetro",pieza,$130.13
"Tapa ciega Fo.Fo. de 4"" (101 mm) de diámetro",pieza,$228.46
"Tapa ciega Fo.Fo. de 6"" (152 mm) de diámetro",pieza,$369.02
"Tapa ciega Fo.Fo. de 8"" (203 mm) de diámetro",pieza,$633.26
Tapa precolada para registro de 0.40x0.60x1.00 m,pieza,$388.33
"Tapete de jerga de 60 x 37 cm, clave TAJE-60",pieza,$50.00
Tapón cubretaladros modelo PL-A100,pieza,$21.36
"Taquete color negro de 1/2"" x 1"", modelo FDP013",caja,$18.32
"Taquete color negro de 1/4 x 1"", modelo FDP006",pieza,$0.16
"Taquete color negro de 5/16 x 1"", modelo FDP008",pieza,$0.21
"Taza redonda de cerámica porcelanizada de 4.8 litros por descarga, modelo Cadet PRO NH RF, color blanco.",pieza,"$1,369.26"
"Tee de Fo.Fo. Bridada de 10"" x 10"" (250x250 mm)",pieza,"$4,401.76"
"Tee de Fo.Fo. Bridada de 10"" x 2-1/2"" (250x63 mm)",pieza,"$3,636.27"
"Tee de Fo.Fo. Bridada de 10"" x 3"" (250x76 mm)",pieza,"$3,674.44"
"Tee de Fo.Fo. Bridada de 10"" x 4"" (250x100 mm)",pieza,"$3,789.30"
"Tee de Fo.Fo. Bridada de 10"" x 6"" (250x150 mm)",pieza,"$3,942.49"
"Tee de Fo.Fo. Bridada de 10"" x 8"" (250x200 mm)",pieza,"$4,133.87"
"Tee de Fo.Fo. Bridada de 2"" x 2"" (51x51 mm)",pieza,$382.74
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2"" (64x51 mm)",pieza,"$1,595.05"
"Tee de Fo.Fo. Bridada de 2-1/2"" x 2-1/2"" (63x63 mm)",pieza,$497.56
"Tee de Fo.Fo. Bridada de 3"" x 2"" (76x51 mm)",pieza,$574.12
"Tee de Fo.Fo. Bridada de 3"" x 2-1/2"" (76x63 mm)",pieza,$612.31
"Tee de Fo.Fo. Bridada de 3"" x 3"" (76x76 mm)",pieza,$650.59
"Tee de Fo.Fo. Bridada de 4"" x 2"" (100x51 mm)",pieza,$880.20
"Tee de Fo.Fo. Bridada de 4"" x 2-1/2"" (100x63 mm)",pieza,$918.63
"Tee de Fo.Fo. Bridada de 4"" x 3"" (100x76 mm)",pieza,$957.02
"Tee de Fo.Fo. Bridada de 4"" x 4"" (100x100 mm)",pieza,"$1,071.68"
"Tee de Fo.Fo. Bridada de 6"" x 2"" (150x51 mm)",pieza,"$1,416.19"
"Tee de Fo.Fo. Bridada de 6"" x 2-1/2"" (150x63 mm)",pieza,"$1,454.42"
"Tee de Fo.Fo. Bridada de 6"" x 3"" (150x76 mm)",pieza,"$1,492.81"
"Tee de Fo.Fo. Bridada de 6"" x 4"" (150x100 mm)",pieza,"$1,607.61"
"Tee de Fo.Fo. Bridada de 6"" x 6"" (150x150 mm)",pieza,"$1,722.52"
"Tee de Fo.Fo. Bridada de 8"" x 2-1/2"" (200x63 mm)",pieza,"$2,558.31"
"Tee de Fo.Fo. Bridada de 8"" x 3"" (200x76 mm)",pieza,"$2,296.54"
"Tee de Fo.Fo. Bridada de 8"" x 4"" (200x100 mm)",pieza,"$2,411.44"
"Tee de Fo.Fo. Bridada de 8"" x 6"" (200x150 mm)",pieza,"$2,526.26"
"Tee de Fo.Fo. Bridada de 8"" x 8"" (200x200 mm)",pieza,"$2,752.80"
Tepetate,m³,$300.00
Terrazo modelo Slate Yakarta 30 de 30 x 30 cm,m²,$742.48
Tezontle,m³,$380.00
"Thinner estándar Comex, bote de 20 litros",l,$29.78
"Tornillo cabeza extraplana de 6 mm x 1 1/8""",pieza,$0.14
